Month,Target,ST,ST MTD,ST Projection
Feb,17.1,17.5M,0M,-
Mar,19.6,20.7M,0M,-
Apr,18.6,18.8M,0M,-
May,19.8,20.3M,0M,-
Jun,19.8,20.8M,0M,-
Jul,19.6,19.6M,0M,-
Aug,21.3,21.1M,0M,-
Sep,20.6,0.0M,5.7M,17.6M
Oct,21.1,0.0M,0M,-
Nov,20.6,0.0M,0M,-
Dec,20.4,0.0M,0M,-
Jan,21.5,0.0M,0M,-
